Backup de Produtos ERP
Gerado em: 2026-03-12T12:43:47.316695
Total de produtos: 8611

codigo_interno | nome | preco
162 | DOG EXCELLENCE LARGE ADULTO 15KG | 230.00
163 | DOG EXCELLENC AD RMG LIGHT FR 15KG | 217.00
164 | CAT EXCELLENCE AD CARNE 10,1KG | 160.00
165 | CAT EXCELLENCE AD SALMAO 10,1KG | 160.00
166 | CAT EXCELLENCE CAST CARNE 10,1KG | 160.00
167 | DOG EXCELLENCE SMALL ADULTO 10,1KG | 188.00
168 | DOG EXCELLENCE FL RP 10,1KG | 145.00
169 | DOG EXCELLENCE AD RP SALMAO 10,1KG | 145.00
170 | DOG EXCELLENCE AD RP CORDEIRO 10,1KG | 145.00
171 | DOG EXCELLENCE SENIOR 10,1KG | 147.49
172 | DOG EXCELLENCE  RP. LIGHT 10,1KG | 145.00
173 | DOG EXCELLENCE RMG SENIOR FRA 15KG | 180.00
174 | CAT EXCELLENCE FL FRANGO 10,1KG | 160.00
175 | AMINOMIX GOLD 100G | 67.90
176 | AMINOMIX GOLD COMPR | 120.00
177 | PROBIOTICO VETNIL 14G | 59.99
178 | PET MILK SACHE 100G | 87.50
179 | HEPVET 30 COMPRIMIDOS | 131.99
180 | ORGANEW VETNIL 100G | 38.99
181 | ENTEREX SACHE 8G | 22.90
182 | ORGANEW VETNIL 1KG | 89.00
183 | PELO & DERME 750MG DHA+EPA 30 CAPSULAS | 86.00
184 | AMINOMIX PET 100G | 49.65
185 | CAL-D-MIX 30 COMPRIMIDOS | 55.00
186 | HEMOLITAN GOLD 30ML | 51.29
187 | HEMOLITAN GOLD 60ML | 82.79
188 | ORGANEW VETNIL PET PASTA 12G | 41.00
189 | HEPVET SUSPENSAO 60ML | 118.00
190 | CAL-D-MIX LIQUIDO 100ML | 24.30
191 | GERIPET 30 COMPRIMIDOS | 92.00
192 | HEMOLITAN PET GOTAS 30ML | 41.99
193 | PET MILK SACHE 300G | 179.99
194 | AMPICILINA VETERIN. ORAL 50G | 79.99
195 | DOG CHOW CAES PAPITA 20KG | 220.00
196 | RACAO DOG E DOGS FILHOTES 20KG | 190.00
197 | RACAO GATO BEGACAT MIX 25KG | 140.00
198 | CATLLY PEIXE 25 KG | 190.00
199 | CATLLY  MIX 25KG | 190.00
200 | BEGACAO CAES NATURAL 25KG | 140.00
